dish_id,ingredient_id,qty,unit,optional,role
D115,I020,400,g,FALSE,main
D115,I022,400,g,FALSE,main
D115,I023,1,Stück,FALSE,main
D115,I195,300,g,TRUE,side
D115,I046,1,Stück,TRUE,side
D116,I051,250,g,FALSE,main
D116,I056,120,g,FALSE,main
D116,I003,3,Stück,FALSE,main
D116,I057,40,g,FALSE,main
D117,I153,4,Stück,FALSE,main
D117,I156,2,EL,FALSE,main
D117,I089,500,g,FALSE,main
D117,I199,1,TL,FALSE,main
D118,I020,400,g,FALSE,main
D118,I023,1,Stück,FALSE,main
D118,I125,250,g,FALSE,main
D121,I077,350,g,FALSE,main
D121,I080,2,EL,FALSE,main
D121,I079,400,ml,FALSE,main
D121,I125,250,g,FALSE,main
D121,I023,1,Stück,FALSE,main
D122,I202,150,g,FALSE,main
D122,I077,200,g,FALSE,main
D122,I054,30,g,FALSE,main
D123,I195,300,g,FALSE,main
D123,I022,400,g,FALSE,main
D123,I023,1,Stück,FALSE,main
D124,I051,250,g,FALSE,main
D124,I059,400,g,FALSE,main
D124,I002,150,ml,FALSE,main
D124,I023,1,Stück,FALSE,main
D125,I089,600,g,FALSE,main
D125,I023,1,Stück,FALSE,main
D125,I046,1,Stück,FALSE,main
D125,I199,1,TL,FALSE,main
D126,I031,200,g,FALSE,main
D126,I003,2,Stück,FALSE,main
D126,I030,250,ml,FALSE,main
D011,I051,250,g,FALSE,main
D011,I050,4,Zehen,FALSE,main
D011,I052,60,ml,FALSE,main
D005,I020,400,g,FALSE,main
D005,I021,1,Stück,FALSE,main
D005,I022,400,g,FALSE,main
D007,I026,2,Stück,FALSE,main
D007,I021,3,Stück,FALSE,main
D007,I030,250,ml,FALSE,main
D007,I031,150,g,FALSE,main

