dish_id,name,category,is_quick,is_meal_prep,season,cuisine,notes
D115,Chili con Carne,Hauptgericht,TRUE,TRUE,,,
D116,Carbonara (klassisch),Hauptgericht,TRUE,FALSE,,,
D117,Currywurst mit Kartoffelecken,Hauptgericht,TRUE,FALSE,,,
D118,Cevapcici mit Reis,Hauptgericht,TRUE,FALSE,,,
D121,Curry-Geschnetzeltes mit Reis,Hauptgericht,TRUE,TRUE,,,
D122,Caesar Salad (mit Hähnchen),Hauptgericht,TRUE,FALSE,,,
D123,Chili sin Carne,Hauptgericht,TRUE,TRUE,,,
D124,Cremige Tomaten-Pasta,Hauptgericht,TRUE,TRUE,,,
D125,Curry-Kartoffel-Pfanne,Hauptgericht,TRUE,TRUE,,,
D126,Crêpes,Snack,TRUE,FALSE,,,
D001,Aachener Printen-Parfait,Dessert,FALSE,FALSE,,,
D005,Albondigas in Tomatensauce,Hauptgericht,FALSE,FALSE,,,
D006,Apfelkompott,Süßspeise,FALSE,FALSE,,,
D007,Apfelpfannkuchen,Süßspeise,FALSE,FALSE,,,
D008,Apfelstrudel,Süßspeise,FALSE,FALSE,,,
D011,Aglio e Olio (Spaghetti),Pasta,FALSE,FALSE,,,
D012,Amatriciana (Pasta),Pasta,FALSE,FALSE,,,
D013,Arrabbiata (Pasta),Pasta,FALSE,FALSE,,,
D015,Allgäuer Käsespätzle,Hauptgericht,FALSE,FALSE,,,
D019,Ananas-Curry (Huhn),Hauptgericht,FALSE,FALSE,,,
D020,Ananas-Curry (Tofu),Hauptgericht (vegetarisch),FALSE,FALSE,,,
D022,Ajvar-Hähnchenpfanne,Hauptgericht,FALSE,FALSE,,,
D033,Avocado-Salat (frisch),Salat,FALSE,FALSE,,,
D035,Avo-Toast (klassisch),Snack,FALSE,FALSE,,,
D046,Arroz con Pollo (Huhn),Hauptgericht,FALSE,FALSE,,,

