ingredient_id,name_canonical,unit_default,price_baseline_per_unit,allergen_tags,notes
I001,Printen,kg,0,,
I002,Sahne,l,3.75,,
I003,Eier,st,1.99,,
I004,Zucker,kg,0.89,,
I020,Rinderhackfleisch,kg,15.73,,
I021,Eier,st,1.99,,
I022,Tomaten (stückig Dose),kg,1.48,,
I023,Zwiebel,st,2.65,,
I026,Äpfel,st,2.29,,
I030,Milch,l,0.99,,
I031,Mehl (Weizen),kg,0.59,,
I044,Tofu,kg,5.48,,
I045,Brokkoli,kg,2.39,tk,
I046,Paprika (rot),st,2.9,,
I050,Knoblauch,kg,6.95,,
I051,Spaghetti,kg,1.58,,
I052,Olivenöl,l,7.99,,
I053,Chiliflocken,kg,42.57,,
I054,Parmesan,kg,19.95,,
I056,Guanciale,kg,29.9,,
I057,Pecorino Romano,kg,23.95,,
I058,Penne,kg,1.58,,
I059,Tomaten (passiert),kg,1.3,,
I060,Chili (frisch),kg,10.9,,
I077,Hähnchenbrust,kg,16.9,,
I079,Kokosmilch,l,3.23,,
I080,Currypaste (gelb),kg,12.64,,
I089,Kartoffeln,kg,0.8,,
I125,Langkornreis,kg,1.59,,
I153,Bratwürste,st,7.02,,
I156,Ketchup,kg,2.58,,
I195,Kidneybohnen,kg,3.5,,
I199,Currypulver,kg,25.0,,
I202,Römersalat,kg,4.5,,

