ingredient_id,name_canonical,unit_default,price_baseline_per_unit,allergen_tags,notes
I001,Printen,kg,0,,
I002,Sahne,l,"3,75",,
I003,Eier,st,"1,99",,
I004,Zucker,kg,"0,89",,
I005,Orangenschale,kg,55,,
I006,Aal,kg,0,,
I007,Gurken (eingelegt),kg,"3,19",,
I008,Dill,kg,"47,6",,
I009,Essig,l,"1,99",,
I010,Lorbeerblatt,kg,398,,
I011,Forellenfilet (geräuchert),kg,"28,9",,
I012,Frischkäse,kg,"5,63",,
I013,Zitrone,st,"0,99",,
I014,Schnittlauch,kg,"47,6",,
I015,Meerrettich,kg,"16,96",,
I016,Agnolotti ,kg,0,,
I017,Ricotta,kg,"6,36",,
I018,Spinat ,kg,"2,39",,tk
I019,Muskatnuss,kg,"59,8",,
I020,Rinderhackfleisch,kg,"15,73",,
I021,Eier,st,"1,99",,
I022,"Tomaten (stückig, Dose)",kg,"1,48",,
I023,Zwiebel,st,"2,65",,
I024,Petersilie,kg,"8,95",,
I025,Paprikapulver edelsüß,kg,"39,8",,
I026,Äpfel,st,"2,29",,
I027,Wasser,l,"0,39",,kein leitungswasser
I028,Zimtstange,st,"0,4",,
I029,Zitronenschale,kg,55,,
I030,Milch,l,"0,99",,
I031,Mehl (Weizen),kg,"0,59",,
I032,Zimt,kg,"17,25",,
I033,Vanillezucker,kg,"3,75",,
I034,Rosinen,kg,"5,56",,
I035,Strudelteig,kg,"7,63",,
I036,Zitronensaft,l,"2,65",,
I037,Semmelbrösel,kg,"4,95",,
I038,Risottoreis,kg,"4,18",,
I039,Erbsen,kg,"2,39",,tk
I040,Mozzarella,kg,"6,45",,
I041,Tomatensauce,kg,"3,63",,
I042,Paniermehl,kg,"1,59",,
I043,Eier,st,"1,99",,
I044,Tofu,kg,"5,48",,
I045,Brokkoli,kg,"2,39",,tk
I046,Paprika (rot),st,"2,9",,
I047,Sojasauce,l,"7,16",,
I048,Sesamöl,l,15,,
I049,Ingwer,kg,"7,9",,
I050,Knoblauch,kg,"6,95",,
I051,Spaghetti,kg,"1,58",,
I052,Olivenöl,l,"7,99",,
I053,Chiliflocken,kg,"42,57",,
I054,Parmesan,kg,"19,95",,
I055,Bucatini,kg,0,,
I056,Guanciale,kg,"29,9",,
I057,Pecorino Romano,kg,"23,95",,
I058,Penne,kg,"1,58",,
I059,Tomaten (passiert),kg,"1,3",,
I060,Chili (frisch),kg,"10,9",,
I061,Artischockenherzen,kg,"12,06",,
I062,Gemüsebrühe,l,"0,14",,
I063,Weißwein,l,"2,79",,
